action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_rank,candidate_recall,cut_anchor_area_frac,cut_area,cut_bbox_area,cut_bbox_h,cut_bbox_w,cut_fill,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_min_dist_in,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dist_percentile,image,inner_mean_image,inner_outer_abs_diff,local_anchor_frac,local_bg_frac,local_h,local_w,outer_mean_image,r216_bg_channel_proxy,r216_bg_component_count_delta,r216_bg_components_after,r216_bg_components_before,r216_crop_area,r216_cut_adjacent_bg_components_before,r216_cut_adjacent_bg_frac_before,r216_cut_area,r216_cut_component_bg_area_after,r216_cut_component_bg_frac_crop_after,r216_cut_component_border_contacts_after,r216_cut_frac_crop,r216_cut_gt_fg_frac,r216_cut_gt_gap_frac,r223_hard_risk,r223_overerosion_proxy,r223_quick_useful,r223_safe_channel_proxy_positive,ring_bg_frac,ring_fg_frac,ring_mean_image,ring_std_image,run_id,split
0.25,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32180643979297396,0.19175764192139738,1.0,1.0,0.8874543748044634,0.1942885855455992,0.7976790836317279,0.8967690264927182,1.0,0.8783312346469047,0.00012644089941626452,6.0,20.0,10.0,2.0,0.3,1.0,1.0,0.05037076398730278,0.7967320084571838,1.0,0.05436316132545471,5.0,0.02432391420006752,-0.00033383232210232316,-0.00023711590091463064,0.0,0.0,-6.960951187928721e-05,0.0,-0.00011248383044937249,-1.3052617137909728e-05,-0.00012385690399019378,10.0,10618.png,0.8543905019760132,0.11112254858016968,0.47368421052631576,0.5263157894736842,46.0,38.0,0.7432679533958435,1.0,0.0,1.0,1.0,1748.0,1.0,0.4583333333333333,6.0,926.0,0.5297482837528604,4.0,0.003432494279176201,1.0,0.0,1.0,1.0,0.0,0.0,0.46875,0.53125,0.7961397171020508,0.05527052283287048,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32122405973704704,0.19134421219232658,1.0,1.0,0.887396360223184,0.1942885855455992,0.7975853471063534,0.8967581467897644,1.0,0.8782280205602461,0.00023180831559648494,11.0,20.0,10.0,2.0,0.55,1.0,1.0,0.04725891724228859,0.7960785031318665,1.0,0.053266968578100204,5.0,0.02013550139963627,-0.0009162123780292464,-0.0006505456299854273,0.0,0.0,-0.00012762409315869583,0.0,-0.00020622035582384957,-2.393232009167967e-05,-0.0002270709906487811,10.0,10618.png,0.8542745113372803,0.1111372709274292,0.47368421052631576,0.5263157894736842,46.0,38.0,0.7431372404098511,1.0,0.0,1.0,1.0,1748.0,1.0,0.5,11.0,931.0,0.532608695652174,4.0,0.006292906178489702,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.796262264251709,0.056974321603775024,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32270770358157,0.19239801212385998,1.0,1.0,0.8875679170707798,0.19403735030566954,0.7978625667947876,0.8968933102895924,2.0,0.8784344487335631,0.0001475143826523086,7.0,40.0,10.0,4.0,0.175,1.0,1.0,0.05867394432425499,0.7686275243759155,1.0,0.0668094277381897,2.5,0.019439049065113068,0.0005674314664937397,0.0004032543015479728,0.0,0.0,4.393275443703715e-05,-0.000251235239929648,7.099933261034419e-05,0.00011123117973632635,-2.0642817331717467e-05,10.0,10618.png,0.8463325500488281,0.12638652324676514,0.6173913043478261,0.3826086956521739,46.0,40.0,0.719946026802063,1.0,0.0,1.0,1.0,1840.0,1.0,0.35714285714285715,7.0,711.0,0.3864130434782609,3.0,0.0038043478260869567,0.14285714285714285,0.8571428571428571,0.0,0.0,1.0,1.0,0.42028985507246375,0.5797101449275363,0.7766410708427429,0.06144008785486221,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32278162077969674,0.19245056265705232,1.0,1.0,0.8876118562399616,0.1937861150657399,0.7979335821035459,0.8970045742954109,2.0,0.8784138059162314,0.0002950287653046172,14.0,70.0,14.0,5.0,0.2,1.0,1.0,0.05000444874167442,0.7537816166877747,1.0,0.0631579201668501,2.8,0.024898478761315346,0.0006413486646204558,0.00045580483474030875,0.0,0.0,8.787192361892071e-05,-0.000502470479859296,0.0001420146413686485,0.0002224951855548385,-4.1285634663434934e-05,10.0,10618.png,0.8433613181114197,0.11974656581878662,0.6302439024390244,0.3697560975609756,50.0,41.0,0.7236147522926331,1.0,0.0,1.0,1.0,2050.0,1.0,0.5,14.0,772.0,0.37658536585365854,3.0,0.006829268292682927,0.14285714285714285,0.8571428571428571,0.0,0.0,1.0,1.0,0.5,0.5,0.7762146592140198,0.05891383811831474,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32189804424495033,0.1918226977455101,1.0,1.0,0.8874775789429775,0.1942885855455992,0.7977165782418777,0.8967733777318806,3.0,0.878372520281568,8.429393294417634e-05,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.06190774589776993,0.753921627998352,1.0,0.06629808321595192,4.0,0.009352345019578934,-0.00024222787012595504,-0.00017206007680189983,0.0,0.0,-4.640537336519923e-05,0.0,-7.498922029958166e-05,-8.701377975484093e-06,-8.257126932686987e-05,10.0,10618.png,0.8232842683792114,0.1232842206954956,0.7662162162162162,0.23378378378378378,40.0,37.0,0.7000000476837158,1.0,0.0,1.0,1.0,1480.0,1.0,0.42857142857142855,4.0,350.0,0.23648648648648649,2.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.7625272274017334,0.060396142303943634,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.32153162643704486,0.1915625170550674,1.0,1.0,0.887431169697981,0.1942885855455992,0.7976415890215781,0.896764674886711,3.0,0.8782899490122412,0.00016858786588835268,8.0,8.0,8.0,1.0,1.0,1.0,1.0,0.05081851780414581,0.7455883026123047,1.0,0.06454683020710945,8.0,0.010638496838510036,-0.0006086456780314276,-0.0004322407672446016,0.0,0.0,-9.281461836174731e-05,0.0,-0.00014997844059916332,-1.740422314511214e-05,-0.0001651425386536287,10.0,10618.png,0.8173202872276306,0.1071895956993103,0.765970515970516,0.23402948402948404,44.0,37.0,0.7101306915283203,1.0,0.0,1.0,1.0,1628.0,1.0,0.45454545454545453,8.0,389.0,0.23894348894348894,2.0,0.004914004914004914,1.0,0.0,1.0,1.0,0.0,0.0,0.46153846153846156,0.5384615384615384,0.7652337551116943,0.05512789264321327,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.25348630204727524,0.1451384563112294,3.0,-3.0,0.8541957391385245,0.3637540453074434,0.745498832842789,0.8008504143044047,1.0,0.9151549885378252,0.0002833911015194123,13.0,160.0,8.0,20.0,0.08125,1.0,1.0,0.07574624568223953,0.6171945929527283,1.0,0.08482707738876342,2.5,0.022790739312767982,-0.0007820208111401494,-0.0005129780917641213,0.0,0.0,-0.0001731929003103705,0.0,-0.00026387902161784105,-5.643722045733934e-05,-0.00032393102760885917,10.0,10624.png,0.7299298048019409,0.17114192247390747,0.5101461038961039,0.4898538961038961,44.0,56.0,0.5587878823280334,1.0,0.0,1.0,1.0,2464.0,1.0,0.36666666666666664,13.0,1220.0,0.49512987012987014,3.0,0.005275974025974026,1.0,0.0,1.0,1.0,0.0,0.0,0.4296875,0.5703125,0.6415748000144958,0.08455468714237213,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.2532785668332756,0.14500226654578421,3.0,-3.0,0.8540224938647809,0.3637540453074434,0.7452349538211712,0.8007939450781949,1.0,0.9148310575102163,0.0005667822030388246,26.0,260.0,10.0,26.0,0.1,1.0,1.0,0.06222279742360115,0.6114630699157715,1.0,0.08397022634744644,2.6,0.025759639218449593,-0.0009897560251397874,-0.0006491678572093096,0.0,0.0,-0.0003464381740539979,0.0,-0.0005277580432355711,-0.00011290644666717142,-0.0006478620552177183,10.0,10624.png,0.7288770079612732,0.16695106029510498,0.5108695652173914,0.4891304347826087,46.0,62.0,0.5619259476661682,1.0,0.0,1.0,1.0,2852.0,1.0,0.5,26.0,1421.0,0.4982468443197756,3.0,0.0091164095371669,1.0,0.0,1.0,1.0,0.0,0.0,0.49375,0.50625,0.6407107710838318,0.08503551781177521,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8544285398667426,0.36347665279704117,0.7458535496051483,0.8010116205550831,2.0,0.915478919565434,0.00013079589300895951,6.0,6.0,1.0,6.0,1.0,1.0,1.0,0.04833081737160683,0.5980392694473267,1.0,0.05107453837990761,6.0,0.005429165903478861,0.0,0.0,0.0,0.0,5.9607827907703914e-05,-0.0002773925104022079,9.083774074147843e-05,0.00010476903022105244,0.0,10.0,10624.png,0.6675894260406494,0.12623471021652222,0.48584298584298585,0.5141570141570142,37.0,42.0,0.5413547158241272,1.0,0.0,1.0,1.0,1554.0,1.0,0.5,6.0,805.0,0.5180180180180181,3.0,0.003861003861003861,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5978609323501587,0.06254119426012039,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.2543186655447211,0.1456844731768175,3.0,-3.0,0.8544782194106566,0.36324549237170595,0.7459292646282536,0.801098949020976,2.0,0.915478919565434,0.00023979247051642577,11.0,11.0,1.0,11.0,1.0,1.0,1.0,0.04449009895324707,0.5992869734764099,1.0,0.05101808160543442,11.0,0.0066505372524261475,5.034268630571548e-05,3.303877382399012e-05,0.0,0.0,0.00010928737182169801,-0.0005085529357374274,0.00016655276384680562,0.0001920974961139299,0.0,10.0,10624.png,0.6677361130714417,0.12263798713684082,0.4548591144335825,0.5451408855664175,37.0,47.0,0.5450981259346008,1.0,0.0,2.0,2.0,1739.0,1.0,0.5357142857142857,11.0,958.0,0.5508913168487637,3.0,0.0063254744105807935,0.0,1.0,0.0,0.0,1.0,1.0,0.546875,0.453125,0.5973039865493774,0.062422093003988266,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.2549233052944087,0.14608143359419304,3.0,-3.0,0.85442515436585,0.3634304207119741,0.7458483901092209,0.801024746538755,3.0,0.9154540017940795,0.00017439452401194603,8.0,27.0,9.0,3.0,0.2962962962962963,1.0,1.0,0.041266389191150665,0.3534314036369324,1.0,0.047276509925723076,3.0,0.012621953152120113,0.0006549824359933232,0.0004299991911995149,0.0,0.0,5.6222327015076345e-05,-0.0003236245954692518,8.567824481409136e-05,0.00011789501389292134,-2.4917771354493468e-05,10.0,10624.png,0.4114237129688263,0.09291878342628479,0.3766381766381766,0.6233618233618233,45.0,39.0,0.3185049295425415,1.0,0.0,1.0,1.0,1755.0,1.0,0.4642857142857143,8.0,1102.0,0.627920227920228,4.0,0.004558404558404558,0.125,0.875,0.0,0.0,1.0,1.0,0.5,0.5,0.3602941036224365,0.04859868064522743,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.2541693472559014,0.14558648449458586,3.0,-3.0,0.8543285109550169,0.3633841886269071,0.7457011186227338,0.8010075017445918,3.0,0.9152546596232433,0.0003705883635253853,17.0,85.0,17.0,5.0,0.2,1.0,1.0,0.035471439361572266,0.351787805557251,1.0,0.04345191344618798,3.4,0.011473891325294971,-9.89756025139843e-05,-6.494990840766324e-05,0.0,0.0,-4.0421083817965275e-05,-0.0003698566805362957,-6.159324167298585e-05,0.00010065021972971433,-0.00022425994219077428,10.0,10624.png,0.41004306077957153,0.09579962491989136,0.3810400368154625,0.6189599631845375,53.0,41.0,0.3142434358596802,1.0,0.0,1.0,1.0,2173.0,1.0,0.5,17.0,1362.0,0.6267832489645652,4.0,0.007823285780027611,0.5294117647058824,0.47058823529411764,1.0,1.0,0.0,0.0,0.5096153846153846,0.49038461538461536,0.358484148979187,0.05036937817931175,R223-structured-seam-background-proposal-diagnostic,val
0.25,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.4101066295781178,0.2579459963842072,1.0,1.0,0.8744386664301519,0.1942671009771987,0.7768911745189118,0.8571925393077444,1.0,0.8923930027821182,0.0006950668544566589,38.0,392.0,56.0,7.0,0.09693877551020408,1.0,1.0,0.048097994178533554,0.4919504225254059,1.0,0.05713810920715332,8.0,0.027681445702910423,0.0024721910158441718,0.0019529955093165463,0.0,0.0,0.00025411967749899844,-0.00152008686210639,0.0004010808440382263,0.0005409324229243007,-5.7166812759690266e-05,10.0,11852.png,0.5593214631080627,0.11755675077438354,0.7376137512639029,0.26238624873609706,92.0,43.0,0.4417647123336792,1.0,0.0,1.0,1.0,3956.0,1.0,0.38636363636363635,38.0,1076.0,0.27199191102123355,3.0,0.009605662285136502,0.07894736842105263,0.9210526315789473,0.0,0.0,1.0,1.0,0.4332129963898917,0.5667870036101083,0.49935582280158997,0.06542712450027466,R223-structured-seam-background-proposal-diagnostic,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,0.40898542652928616,0.2570595099183197,1.0,1.0,0.8742823536001344,0.19487513572204126,0.7766444422330581,0.8569624654576067,1.0,0.8923167803651054,0.0005121545243364855,28.0,273.0,39.0,7.0,0.10256410256410256,2.0,1.4163162231961566,0.048855267465114594,0.5009803771972656,1.0,0.061940301582217215,5.571428571428571,0.040681641548871994,0.0013509879670125513,0.001066509043429087,0.0,0.0,9.780684748150748e-05,-0.0009120521172638341,0.00015434855818452498,0.00031085857278656537,-0.0001333892297724626,10.0,11852.png,0.5839280486106873,0.13700443506240845,0.7603100775193798,0.23968992248062015,75.0,43.0,0.4469236135482788,1.0,0.0,1.0,1.0,3225.0,1.0,0.42592592592592593,28.0,801.0,0.2483720930232558,2.0,0.008682170542635658,0.25,0.75,0.0,0.0,1.0,1.0,0.4393939393939394,0.5606060606060606,0.5151218175888062,0.07215553522109985,R223-structured-seam-background-proposal-diagnostic,val
