mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,mean_threshold,meets_metric_gate,p10_threshold,passes_gate,risk,safe_useful,selected,selected_images
,,,,,,,,,0.85,False,0.3,False,0,0,0,0
,,,,,,,,,0.85,False,0.4,False,0,0,0,0
,,,,,,,,,0.85,False,0.5,False,0,0,0,0
,,,,,,,,,0.85,False,0.6,False,0,0,0,0
,,,,,,,,,0.85,False,0.7,False,0,0,0,0
,,,,,,,,,0.85,False,0.8,False,0,0,0,0
,,,,,,,,,0.9,False,0.0003846038120306546,False,0,0,0,0
,,,,,,,,,0.9,False,0.00332931517296266,False,0,0,0,0
,,,,,,,,,0.9,False,0.03261475532643252,False,0,0,0,0
,,,,,,,,,0.9,False,0.052515961220661996,False,0,0,0,0
,,,,,,,,,0.9,False,0.08452409952223475,False,0,0,0,0
,,,,,,,,,0.9,False,0.1,False,0,0,0,0
,,,,,,,,,0.9,False,0.2,False,0,0,0,0
,,,,,,,,,0.9,False,0.3,False,0,0,0,0
,,,,,,,,,0.9,False,0.4,False,0,0,0,0
,,,,,,,,,0.9,False,0.5,False,0,0,0,0
,,,,,,,,,0.9,False,0.6,False,0,0,0,0
,,,,,,,,,0.9,False,0.7,False,0,0,0,0
,,,,,,,,,0.9,False,0.8,False,0,0,0,0
,,,,,,,,,0.95,False,0.0003846038120306546,False,0,0,0,0
,,,,,,,,,0.95,False,0.00332931517296266,False,0,0,0,0
,,,,,,,,,0.95,False,0.03261475532643252,False,0,0,0,0
,,,,,,,,,0.95,False,0.052515961220661996,False,0,0,0,0
,,,,,,,,,0.95,False,0.08452409952223475,False,0,0,0,0
,,,,,,,,,0.95,False,0.1,False,0,0,0,0
,,,,,,,,,0.95,False,0.2,False,0,0,0,0
,,,,,,,,,0.95,False,0.3,False,0,0,0,0
,,,,,,,,,0.95,False,0.4,False,0,0,0,0
,,,,,,,,,0.95,False,0.5,False,0,0,0,0
,,,,,,,,,0.95,False,0.6,False,0,0,0,0
,,,,,,,,,0.95,False,0.7,False,0,0,0,0
,,,,,,,,,0.95,False,0.8,False,0,0,0,0
,,,,,,,,,0.98,False,0.0003846038120306546,False,0,0,0,0
,,,,,,,,,0.98,False,0.00332931517296266,False,0,0,0,0
,,,,,,,,,0.98,False,0.03261475532643252,False,0,0,0,0
,,,,,,,,,0.98,False,0.052515961220661996,False,0,0,0,0
,,,,,,,,,0.98,False,0.08452409952223475,False,0,0,0,0
,,,,,,,,,0.98,False,0.1,False,0,0,0,0
,,,,,,,,,0.98,False,0.2,False,0,0,0,0
,,,,,,,,,0.98,False,0.3,False,0,0,0,0
,,,,,,,,,0.98,False,0.4,False,0,0,0,0
,,,,,,,,,0.98,False,0.5,False,0,0,0,0
,,,,,,,,,0.98,False,0.6,False,0,0,0,0
,,,,,,,,,0.98,False,0.7,False,0,0,0,0
,,,,,,,,,0.98,False,0.8,False,0,0,0,0
